Passenger Feedback,class
 The driver was very courteous and drove safely,good
 The conductor was very helpful and friendly,good
 The bus was very comfortable and clean,good
 The journey was very smooth and the travel time was short,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of legroom,good
 The journey was very enjoyable and the travel time was reasonable,good
 The driver was very professional and drove carefully,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was satisfactory,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of amenities,good
 The journey was pleasant and the travel time was convenient,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of legroom,good
 The journey was smooth and the travel time was satisfactory,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was reasonable,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of amenities,good
 The journey was pleasant and the travel time was convenient,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of legroom,good
 The journey was smooth and the travel time was satisfactory,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of amenities,good
 The journey was enjoyable and the travel time was reasonable,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was convenient,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of legroom,good
 The journey was pleasant and the travel time was satisfactory,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of amenities,good
 The journey was smooth and the travel time was reasonable,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of legroom,good
 The journey was enjoyable and the travel time was convenient,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was satisfactory,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of amenities,good
 The journey was pleasant and the travel time was reasonable,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of legroom,good
 The journey was smooth and the travel time was convenient,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of amenities,good
 The journey was enjoyable and the travel time was satisfactory,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was reasonable,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of legroom,good
 The journey was pleasant and the travel time was convenient,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of amenities,good
 The journey was smooth and the travel time was satisfactory,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of legroom,good
 The journey was enjoyable and the travel time was reasonable,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was convenient,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of amenities,good
 The journey was pleasant and the travel time was satisfactory,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of legroom,good
 The journey was smooth and the travel time was reasonable,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of amenities,good
 The journey was enjoyable and the travel time was convenient,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was satisfactory,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of legroom,good
 The journey was pleasant and the travel time was reasonable,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of amenities,good
 The journey was smooth and the travel time was convenient,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of legroom,good
 The journey was enjoyable and the travel time was satisfactory,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was reasonable,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of amenities,good
 The journey was pleasant and the travel time was convenient,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of legroom,good
 The journey was smooth and the travel time was satisfactory,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of amenities,good
 The journey was enjoyable and the travel time was reasonable,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was convenient,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of legroom,good
 The journey was pleasant and the travel time was satisfactory,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of amenities,good
 The journey was smooth and the travel time was reasonable,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of legroom,good
 The journey was enjoyable and the travel time was convenient,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was satisfactory,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of amenities,good
 The journey was pleasant and the travel time was reasonable,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of legroom,good
 The journey was smooth and the travel time was convenient,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of amenities,good
 The journey was enjoyable and the travel time was satisfactory,good
 The driver was very knowledgeable and gave us useful information about the route,good
 The conductor was very helpful and provided us with all the necessary information,good
 The bus was wellmaintained and had comfortable seating,good
 The journey was comfortable and the travel time was reasonable,good
 The driver was very professional and drove carefully,good
 The conductor was very polite and attentive,good
 The bus was spacious and had plenty of legroom,good
 The journey was pleasant and the travel time was convenient,good
 The driver was very friendly and gave us a pleasant ride,good
 The conductor was very accommodating and made sure we had a pleasant journey,good
 The bus was wellequipped and had plenty of amenities,good
 The journey was smooth and the travel time was satisfactory,good
 The driver was very punctual and drove safely,good
 The conductor was very friendly and provided us with all the necessary assistance,good
 The bus was comfortable and had plenty of legroom,good
 The journey was enjoyable and the travel time was reasonable,good
