date_time,Date,Time,Day_of_Week,school,company,weather,traffic,travel_time,day,hour,travel_time_minutes
6/1/2023 0:00,6/1/2023,0:00,Thursday,lite,lite,sunny,lite,3:07,1,0,187
6/1/2023 1:00,6/1/2023,1:00,Thursday,lite,lite,sunny,lite,3:13,1,1,193
6/1/2023 2:00,6/1/2023,2:00,Thursday,lite,lite,sunny,lite,3:04,1,2,184
6/1/2023 3:00,6/1/2023,3:00,Thursday,lite,lite,sunny,lite,3:04,1,3,184
6/1/2023 4:00,6/1/2023,4:00,Thursday,lite,lite,sunny,lite,3:01,1,4,181
6/1/2023 5:00,6/1/2023,5:00,Thursday,lite,lite,sunny,lite,3:10,1,5,190
6/1/2023 6:00,6/1/2023,6:00,Thursday,heavy,heavy,sunny,heavy,3:50,1,6,230
6/1/2023 7:00,6/1/2023,7:00,Thursday,heavy,heavy,sunny,heavy,3:56,1,7,236
6/1/2023 8:00,6/1/2023,8:00,Thursday,heavy,heavy,sunny,heavy,4:10,1,8,250
6/1/2023 9:00,6/1/2023,9:00,Thursday,heavy,heavy,sunny,heavy,4:13,1,9,253
6/1/2023 10:00,6/1/2023,10:00,Thursday,lite,lite,sunny,moderate,3:21,1,10,201
6/1/2023 11:00,6/1/2023,11:00,Thursday,lite,lite,sunny,moderate,3:29,1,11,209
6/1/2023 12:00,6/1/2023,12:00,Thursday,lite,lite,sunny,moderate,3:34,1,12,214
6/1/2023 13:00,6/1/2023,13:00,Thursday,heavy,lite,sunny,moderate,3:19,1,13,199
6/1/2023 14:00,6/1/2023,14:00,Thursday,heavy,lite,sunny,moderate,3:24,1,14,204
6/1/2023 15:00,6/1/2023,15:00,Thursday,heavy,lite,sunny,moderate,3:16,1,15,196
6/1/2023 16:00,6/1/2023,16:00,Thursday,heavy,heavy,sunny,heavy,4:15,1,16,255
6/1/2023 17:00,6/1/2023,17:00,Thursday,heavy,heavy,sunny,heavy,3:53,1,17,233
6/1/2023 18:00,6/1/2023,18:00,Thursday,heavy,heavy,sunny,heavy,3:46,1,18,226
6/1/2023 19:00,6/1/2023,19:00,Thursday,heavy,heavy,sunny,heavy,4:06,1,19,246
